      Vg      	      Vs      	    Efs-Ei    	     Cexp     	    Gexp/w    	      Cf      	     Gf/w     	      Cs      	    |Qs|      	    |Qit|     
     (V)      	     (eV)     	     (eV)     	   (uF/cm2)   	   (uF/cm2)   	   (uF/cm2)   	   (uF/cm2)   	   (uF/cm2)   	   (C/cm2)    	   (C/cm2)    
-8.500000e-001	2.185059e-001	-5.984730e-001	1.315240e+000	4.386501e-001	1.257461e+000	5.003479e-001	2.831096e+000	2.764966e-007	0.000000e+000
-9.000000e-001	2.423096e-001	-6.222768e-001	1.397440e+000	4.966589e-001	1.323311e+000	5.658536e-001	3.272969e+000	3.543779e-007	0.000000e+000
-9.500000e-001	2.648926e-001	-6.448598e-001	1.462320e+000	5.452648e-001	1.372785e+000	6.197476e-001	3.679390e+000	4.388833e-007	0.000000e+000
-1.000000e+000	2.856445e-001	-6.656117e-001	1.514440e+000	5.860531e-001	1.409500e+000	6.627031e-001	4.037202e+000	5.253914e-007	0.000000e+000
-1.050000e+000	3.057861e-001	-6.857533e-001	1.556880e+000	6.206152e-001	1.438862e+000	6.990841e-001	4.368099e+000	6.171492e-007	0.000000e+000
-1.100000e+000	3.247070e-001	-7.046742e-001	1.592640e+000	6.493522e-001	1.461972e+000	7.291143e-001	4.663459e+000	7.100388e-007	0.000000e+000
-1.150000e+000	3.430176e-001	-7.229848e-001	1.622920e+000	6.748170e-001	1.481026e+000	7.548786e-001	4.935021e+000	8.058238e-007	0.000000e+000
-1.200000e+000	3.601074e-001	-7.400746e-001	1.649120e+000	7.002818e-001	1.496413e+000	7.763934e-001	5.176122e+000	9.002182e-007	0.000000e+000
-1.250000e+000	3.771973e-001	-7.571644e-001	1.672080e+000	7.193804e-001	1.509887e+000	7.957902e-001	5.405795e+000	9.992224e-007	0.000000e+000
-1.300000e+000	3.942871e-001	-7.742543e-001	1.692320e+000	7.384790e-001	1.521764e+000	8.133432e-001	5.624614e+000	1.102633e-006	0.000000e+000
-1.350000e+000	4.101563e-001	-7.901234e-001	1.710400e+000	7.575775e-001	1.531588e+000	8.281996e-001	5.818631e+000	1.202429e-006	0.000000e+000
-1.400000e+000	4.260254e-001	-8.059926e-001	1.726600e+000	7.703099e-001	1.540424e+000	8.418355e-001	6.004351e+000	1.305708e-006	0.000000e+000
-1.450000e+000	4.412842e-001	-8.212514e-001	1.741280e+000	7.830424e-001	1.548117e+000	8.539290e-001	6.175599e+000	1.408170e-006	0.000000e+000
-1.500000e+000	4.565430e-001	-8.365102e-001	1.754560e+000	8.021409e-001	1.555130e+000	8.651380e-001	6.340138e+000	1.513611e-006	0.000000e+000
-1.550000e+000	4.711914e-001	-8.511586e-001	1.766640e+000	8.085072e-001	1.561303e+000	8.751565e-001	6.492209e+000	1.617535e-006	0.000000e+000
-1.600000e+000	4.858398e-001	-8.658070e-001	1.777680e+000	8.212395e-001	1.566995e+000	8.845247e-001	6.638913e+000	1.724013e-006	0.000000e+000
-1.650000e+000	5.004883e-001	-8.804555e-001	1.787880e+000	8.339719e-001	1.572264e+000	8.933089e-001	6.780617e+000	1.832960e-006	0.000000e+000
-1.700000e+000	5.145264e-001	-8.944936e-001	1.797080e+000	8.467043e-001	1.576959e+000	9.012332e-001	6.912054e+000	1.939609e-006	0.000000e+000
-1.750000e+000	5.285645e-001	-9.085316e-001	1.805600e+000	8.530705e-001	1.581346e+000	9.087205e-001	7.039516e+000	2.048386e-006	0.000000e+000
-1.800000e+000	5.419922e-001	-9.219594e-001	1.813320e+000	8.658029e-001	1.585284e+000	9.155110e-001	7.157980e+000	2.154370e-006	0.000000e+000
-1.850000e+000	5.560303e-001	-9.359975e-001	1.820400e+000	8.721691e-001	1.589158e+000	9.222567e-001	7.278467e+000	2.267142e-006	0.000000e+000
-1.900000e+000	5.694580e-001	-9.494252e-001	1.826920e+000	8.849015e-001	1.592653e+000	9.284007e-001	7.390722e+000	2.376848e-006	0.000000e+000
-1.950000e+000	5.822754e-001	-9.622426e-001	1.832720e+000	8.912677e-001	1.595814e+000	9.340076e-001	7.495335e+000	2.483202e-006	0.000000e+000
-2.000000e+000	5.957031e-001	-9.756703e-001	1.838040e+000	8.976339e-001	1.598961e+000	9.396332e-001	7.602438e+000	2.596295e-006	0.000000e+000
