1.000000e+000	1.941040e-002	2.429277e-004
9.500000e-001	1.969600e-002	2.477788e-004
9.000000e-001	1.991280e-002	2.533110e-004
8.500000e-001	2.007600e-002	2.394200e-004
8.000000e-001	2.028040e-002	2.547561e-004
7.500000e-001	2.047000e-002	2.546225e-004
7.000000e-001	2.067600e-002	2.842189e-004
6.500000e-001	2.088720e-002	2.640062e-004
6.000000e-001	2.113640e-002	2.722950e-004
5.500000e-001	2.133600e-002	2.734155e-004
5.000000e-001	2.156760e-002	2.721931e-004
4.500000e-001	2.178920e-002	2.835695e-004
4.000000e-001	2.203480e-002	3.246379e-004
3.500000e-001	2.237000e-002	4.107089e-004
3.000000e-001	2.287960e-002	5.887396e-004
2.500000e-001	2.363040e-002	8.274784e-004
2.000000e-001	2.475320e-002	1.151645e-003
1.500000e-001	2.635840e-002	1.542339e-003
1.000000e-001	2.841040e-002	1.824425e-003
5.000000e-002	3.084160e-002	1.923228e-003
0.000000e+000	3.344320e-002	1.819268e-003
-5.000000e-002	3.614480e-002	1.710279e-003
-1.000000e-001	3.899680e-002	1.830919e-003
-1.500000e-001	4.244000e-002	2.666354e-003
-2.000000e-001	4.766800e-002	5.236580e-003
-2.500000e-001	5.797200e-002	1.276423e-002
-3.000000e-001	8.430400e-002	3.048008e-002
-3.500000e-001	1.477480e-001	5.632430e-002
-4.000000e-001	2.527400e-001	6.554637e-002
-4.500000e-001	3.576840e-001	4.538908e-002
-5.000000e-001	4.391600e-001	2.286229e-002
-5.500000e-001	5.232800e-001	1.400755e-002
-6.000000e-001	6.411600e-001	1.425774e-002
-6.500000e-001	8.019200e-001	1.958179e-002
-7.000000e-001	9.864400e-001	2.713083e-002
-7.500000e-001	1.164320e+000	3.602440e-002
-8.000000e-001	1.316680e+000	4.474546e-002
-8.500000e-001	1.441400e+000	5.262681e-002
-9.000000e-001	1.541480e+000	5.938389e-002
-9.500000e-001	1.623000e+000	6.526626e-002
-1.000000e+000	1.690320e+000	7.042925e-002
-1.050000e+000	1.746680e+000	7.490468e-002
-1.100000e+000	1.795040e+000	7.906181e-002
-1.150000e+000	1.836960e+000	8.290062e-002
-1.200000e+000	1.873840e+000	8.654209e-002
-1.250000e+000	1.906720e+000	9.024085e-002
-1.300000e+000	1.936240e+000	9.392051e-002
-1.350000e+000	1.962840e+000	9.768931e-002
-1.400000e+000	1.987160e+000	1.016618e-001
-1.450000e+000	2.009480e+000	1.060354e-001
-1.500000e+000	2.029960e+000	1.108164e-001
-1.550000e+000	2.049000e+000	1.161895e-001
-1.600000e+000	2.066600e+000	1.222883e-001
-1.650000e+000	2.082960e+000	1.291320e-001
-1.700000e+000	2.098240e+000	1.369051e-001
-1.750000e+000	2.112520e+000	1.458878e-001
-1.800000e+000	2.125840e+000	1.562074e-001
-1.850000e+000	2.138240e+000	1.678957e-001
-1.900000e+000	2.149760e+000	1.812456e-001
-1.950000e+000	2.160480e+000	1.962953e-001
-2.000000e+000	2.170600e+000	2.133249e-001
